Date,Time,Pres,Temp,Cond,Sal,O2%,O2ppm,pH,PAR,Chl(a)Phy-EthrinPhy-Cyanin,datetime,Depth,pot_temp,density,N2,mld_temp,mld_dens
06-07-2024,16:05:055.49,46.2,-0.081,26.266,31.396,104.6,12.35,8.251,0.10954,2.5,2024-07-06 16:05:05.549,45.81398893644849,-0.08227532388755415,25.085557078553393,8.226675446118049e-06,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:055.73,46.25,-0.082,26.266,31.396,104.6,12.35,8.252,0.10658,2.7,2024-07-06 16:05:05.573,45.86356561158914,-0.08327630919996677,25.085598514424646,0.00036439564437384323,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:055.98,46.27,-0.081,26.266,31.397,104.6,12.35,8.252,0.13249,2.59,2024-07-06 16:05:05.598,45.88339627827854,-0.08227737984612256,25.086359769571573,-inf,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:056.23,46.27,-0.081,26.266,31.396,104.6,12.35,8.252,0.11916,2.35,2024-07-06 16:05:05.623,45.88339627827854,-0.08227728740397909,25.085557078553393,-0.0001099893222845265,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:056.48,46.34,-0.081,26.265,31.395,104.6,12.35,8.252,0.12953,2.31,2024-07-06 16:05:05.648,45.952803596540654,-0.08227915843233155,25.08475438759706,-0.0003849625786766095,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:056.72,46.3,-0.081,26.267,31.397,104.6,12.35,8.252,0.11916,2.31,2024-07-06 16:05:05.672,45.9131422747053,-0.08227822144185784,25.086359769571573,-0.00019248129682120018,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:056.97,46.34,-0.081,26.266,31.396,104.6,12.35,8.252,0.11102,2.62,2024-07-06 16:05:05.697,45.952803596540654,-0.08227925101473588,25.085557078553393,-0.0015398497664186384,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:057.22,46.35,-0.081,26.264,31.394,104.7,12.35,8.252,0.11768,2.57,2024-07-06 16:05:05.722,45.962718925797034,-0.08227934633288703,25.083951696702798,0.0003849623344636927,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:057.46,46.39,-0.081,26.266,31.396,104.6,12.34,8.251,0.1199,2.52,2024-07-06 16:05:05.746,46.00238023801281,-0.08228065365160185,25.085557078553393,-inf,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:057.71,46.39,-0.08,26.266,31.395,104.6,12.35,8.252,0.11102,2.38,2024-07-06 16:05:05.771,46.00238023801281,-0.08128097941159153,25.08471294125252,0.00016221466462515568,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:057.95,46.44,-0.081,26.266,31.396,104.7,12.35,8.251,0.1162,2.51,2024-07-06 16:05:05.795,46.05195686746057,-0.08228205633659598,25.085557078553393,0.0007699241158780317,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:058.20,46.45,-0.081,26.267,31.397,104.6,12.35,8.252,0.12213,2.62,2024-07-06 16:05:05.820,46.0618721919072,-0.08228242968042479,25.086359769571573,-0.00019248097539939233,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:058.44,46.49,-0.081,26.266,31.396,104.6,12.35,8.251,0.10806,2.62,2024-07-06 16:05:05.844,46.10153348488394,-0.08228345906971804,25.085557078553393,0.0008110681085399656,-0.08925805897988083,-0.08925805897988083
